site,sample name,lab number,bottom increment (cm),Mid Point Section (cm),bulk density (g/cm^3),%Nitrogen,%Carbon,%Hydrogen,LOI550,LOI950,C density (g/cm^3),Culmulative carbon mass (g/cm^2),Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^2,Peat Accretion Rate averaged across entire core (cm/yr),Average carbon accumulation rate (g/cm^2/yr) ,Average carbon accumulation (g/m^2/yr),Age for Midpoint of section estimated from rBacon model (yrbp),Accretion Rate Obtained using rBacon age-depth model (cmyr-1),Modelled Carbon accumulation rate (gcm-2yr-1),Modelled Carbon Accumulation rate (gm-2yr-1),Carbon Density (gcm-3),OM density (gcm-3)
DB-01,DB-01-01,14,4,2,0.178127831,1.9475,39.24,4.6347,77.32639304,0.04452355,0.069897361,0.279589443,2.795894428,0.008008899,0.000559801,5.598008866,254.3068,0.006152374,0.000430035,4.300347046,0.068869913,0.137739826
DB-01,DB-01-01,15,8,6,0.179804237,1.8284,38.649,4.7142,76.79717009,0.04503667,0.069492539,0.557559601,5.575596005,0.008008899,0.000556559,5.56558714,937.8926,0.00542209,0.000376795,3.767948031,0.069042283,0.138084566
DB-01,DB-01-01,16,12,10,0.149445581,1.6852,41.46,4.6999,79.15484232,0.04571526,0.061960138,0.805400152,8.054001516,0.008008899,0.000496232,4.962324715,1640.751,0.005292677,0.000327935,3.279349961,0.059146707,0.118293414
DB-01,DB-01-01,17,16,14,0.166783784,1.6214,43.666,4.9113,82.5306799,0.05151427,0.072827807,1.09671138,10.9671138,0.008008899,0.000583271,5.832705346,2290.9305,0.005429402,0.000395411,3.954114411,0.068823895,0.13764779
DB-01,DB-01-01,18,20,18,0.146168006,1.6394,43.149,4.8818,81.3734591,0.05665519,0.063070033,1.348991511,13.48991511,0.008008899,0.000505122,5.051215089,3006.7929,0.005797969,0.000365678,3.656780952,0.059470981,0.118941962
DB-01,DB-01-01,19,24,22,0.170896275,1.6343,43.397,4.9711,82.66607963,0.04770005,0.074163856,1.645646936,16.45646936,0.008008899,0.000593971,5.939708181,3679.0544,0.007201107,0.000534062,5.340618648,0.070636625,0.14127325
DB-01,DB-01-01,20,28,26,0.146196494,1.842,38.987,4.7406,77.19894451,0.04975612,0.056997627,1.873637444,18.73637444,0.008008899,0.000456488,4.564882254,4186.3624,0.010470592,0.000596799,5.967988976,0.056431075,0.11286215
DB-01,DB-01-01,21,32,30,0.17269832,1.9077,39.774,4.6968,77.03302664,0.04920849,0.06868903,2.148393564,21.48393564,0.008008899,0.000550123,5.501234865,4584.5376,0.009843007,0.000676107,6.761066009,0.066517371,0.133034742
DB-01,DB-01-01,22,36,34,0.16344412,1.8664,40.115,4.7249,77.99251746,0.05127743,0.065565609,2.410655998,24.10655998,0.008008899,0.000525108,5.251083229,4968.2002,0.009855983,0.000646214,6.462135243,0.063737092,0.127474184
DB-01,DB-01-01,23,40,38,0.188930606,1.8378,40.48,4.7724,78.59809539,0.05305556,0.076479109,2.716572436,27.16572436,0.008008899,0.000612513,6.125134459,5349.8089,0.010762467,0.000823104,8.231038914,0.074247929,0.148495858
DB-01,DB-01-01,24,44,42,0.143089847,1.8403,39.361,4.7816,78.1652881,0.05553944,0.056321595,2.941858814,29.41858814,0.008008899,0.000451074,4.510739494,5710.9301,0.010805838,0.000608602,6.086020263,0.055923295,0.11184659
DB-01,DB-01-01,25,48,46,0.17544485,1.9282,40.904,4.6033,77.48513424,0.05874227,0.071763962,3.085386737,30.85386737,0.008008899,0.00057475,5.747503038,6067.1777,0.010886735,0.000781275,7.812752319,0.067971839,0.135943678
DB-01,DB-01-01,26,50,49,0.127627222,1.8115,40.982,4.8087,80.06750638,0.05127192,0.052304188,3.294603489,32.94603489,0.008008899,0.000418899,4.188989476,6341.597,0.010765224,0.000563066,5.630663004,0.051093967,0.102187934
DB-01,DB-01-02,53,54,52,0.125574872,1.836,41.875,4.9208,79.96499045,0.050186983,0.052584478,3.5049414,35.049414,0.008008899,0.000421144,4.211437593,6615.5453,0.010421593,0.000548014,5.480140249,0.050207967,0.100415934
DB-01,DB-01-02,54,58,56,0.153479182,1.9336,39.479,4.639,75.38503134,0.056628147,0.060592046,3.747309585,37.47309585,0.008008899,0.000485276,4.852755648,6992.5392,0.010074661,0.000610444,6.104443249,0.057850165,0.11570033
DB-01,DB-01-02,55,62,60,0.123869248,1.5892,41.226,4.8821,77.53178189,0.055749792,0.051066336,3.951574929,39.51574929,0.008008899,0.000408985,4.089851161,7377.0923,0.010589733,0.000540779,5.407788638,0.048019017,0.096038034
DB-01,DB-01-02,56,66,64,0.131464573,1.9456,41.56,4.9106,78.57825009,0.046186045,0.054636676,4.170121635,41.70121635,0.008008899,0.00043758,4.375796108,7730.8,0.010676039,0.000583303,5.833032881,0.05165128,0.10330256
DB-01,DB-01-02,57,70,68,0.111217677,2.034,43.411,5.1885,83.09479963,0.036951039,0.048280706,4.363244458,43.63244458,0.008008899,0.000386675,3.866752858,8111.3858,0.009976974,0.000481695,4.816953467,0.046208053,0.092416106
DB-01,DB-01-02,58,74,72,0.11220672,2.2557,43.718,5.2152,78.78488639,0.074540667,0.049054534,4.559462594,45.59462594,0.008008899,0.000392873,3.928727969,8508.383,0.010395557,0.000509949,5.099492038,0.044200969,0.088401938
DB-01,DB-01-02,59,78,76,0.157058437,2.3767,39.619,4.8522,75.77395677,0.039234849,0.062224982,4.808362522,48.08362522,0.008008899,0.000498354,4.983535829,8867.2947,0.011076642,0.000689244,6.8924385,0.059504696,0.119009392
DB-01,DB-01-02,60,82,80,0.162084733,2.4399,40.08,4.7375,74.88545446,0.039705809,0.064963561,5.068216767,50.68216767,0.008008899,0.000520287,5.202865853,9455.981,0.006276488,0.000407743,4.077430119,0.060688945,0.12137789
DB-01,DB-01-02,61,86,84,0.177479182,2.5503,34.508,4.3331,65.99676141,0.012884831,0.061244516,5.313194831,53.13194831,0.008008899,0.000490501,4.905011299,10071.9883,0.005719474,0.000350286,3.502864174,0.058565256,0.117130512
