site,bottom increment (cm),Mid Point Section (cm),Age for Midpoint of section estimated from rBacon model (yrbp),param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value
DB-01,4,2,254.3068,bulk density (g/cm^3),0.178127831,%Nitrogen,1.9475,%Carbon,39.24,%Hydrogen,4.6347,C density (g/cm^3),0.069897361,Culmulative carbon mass (g/cm^2),0.279589443,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^3,2.795894428,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000559801,Average carbon accumulation (g/m^2/yr),5.598008866,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.006152374,Modelled Carbon accumulation rate (gcm-2yr-1),0.000430035,Modelled Carbon Accumulation rate (gm-2yr-1),4.300347046,Carbon Density (gcm-3),0.068869913,OM density (gcm-3),0.137739826
DB-01,8,6,937.8926,bulk density (g/cm^3),0.179804237,%Nitrogen,1.8284,%Carbon,38.649,%Hydrogen,4.7142,C density (g/cm^3),0.069492539,Culmulative carbon mass (g/cm^2),0.557559601,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^4,5.575596005,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000556559,Average carbon accumulation (g/m^2/yr),5.56558714,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.00542209,Modelled Carbon accumulation rate (gcm-2yr-1),0.000376795,Modelled Carbon Accumulation rate (gm-2yr-1),3.767948031,Carbon Density (gcm-3),0.069042283,OM density (gcm-3),0.138084566
DB-01,12,10,1640.751,bulk density (g/cm^3),0.149445581,%Nitrogen,1.6852,%Carbon,41.46,%Hydrogen,4.6999,C density (g/cm^3),0.061960138,Culmulative carbon mass (g/cm^2),0.805400152,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^5,8.054001516,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000496232,Average carbon accumulation (g/m^2/yr),4.962324715,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.005292677,Modelled Carbon accumulation rate (gcm-2yr-1),0.000327935,Modelled Carbon Accumulation rate (gm-2yr-1),3.279349961,Carbon Density (gcm-3),0.059146707,OM density (gcm-3),0.118293414
DB-01,16,14,2290.9305,bulk density (g/cm^3),0.166783784,%Nitrogen,1.6214,%Carbon,43.666,%Hydrogen,4.9113,C density (g/cm^3),0.072827807,Culmulative carbon mass (g/cm^2),1.09671138,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^6,10.9671138,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000583271,Average carbon accumulation (g/m^2/yr),5.832705346,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.005429402,Modelled Carbon accumulation rate (gcm-2yr-1),0.000395411,Modelled Carbon Accumulation rate (gm-2yr-1),3.954114411,Carbon Density (gcm-3),0.068823895,OM density (gcm-3),0.13764779
DB-01,20,18,3006.7929,bulk density (g/cm^3),0.146168006,%Nitrogen,1.6394,%Carbon,43.149,%Hydrogen,4.8818,C density (g/cm^3),0.063070033,Culmulative carbon mass (g/cm^2),1.348991511,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^7,13.48991511,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000505122,Average carbon accumulation (g/m^2/yr),5.051215089,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.005797969,Modelled Carbon accumulation rate (gcm-2yr-1),0.000365678,Modelled Carbon Accumulation rate (gm-2yr-1),3.656780952,Carbon Density (gcm-3),0.059470981,OM density (gcm-3),0.118941962
DB-01,24,22,3679.0544,bulk density (g/cm^3),0.170896275,%Nitrogen,1.6343,%Carbon,43.397,%Hydrogen,4.9711,C density (g/cm^3),0.074163856,Culmulative carbon mass (g/cm^2),1.645646936,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^8,16.45646936,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000593971,Average carbon accumulation (g/m^2/yr),5.939708181,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.007201107,Modelled Carbon accumulation rate (gcm-2yr-1),0.000534062,Modelled Carbon Accumulation rate (gm-2yr-1),5.340618648,Carbon Density (gcm-3),0.070636625,OM density (gcm-3),0.14127325
DB-01,28,26,4186.3624,bulk density (g/cm^3),0.146196494,%Nitrogen,1.842,%Carbon,38.987,%Hydrogen,4.7406,C density (g/cm^3),0.056997627,Culmulative carbon mass (g/cm^2),1.873637444,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^9,18.73637444,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000456488,Average carbon accumulation (g/m^2/yr),4.564882254,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010470592,Modelled Carbon accumulation rate (gcm-2yr-1),0.000596799,Modelled Carbon Accumulation rate (gm-2yr-1),5.967988976,Carbon Density (gcm-3),0.056431075,OM density (gcm-3),0.11286215
DB-01,32,30,4584.5376,bulk density (g/cm^3),0.17269832,%Nitrogen,1.9077,%Carbon,39.774,%Hydrogen,4.6968,C density (g/cm^3),0.06868903,Culmulative carbon mass (g/cm^2),2.148393564,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^10,21.48393564,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000550123,Average carbon accumulation (g/m^2/yr),5.501234865,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.009843007,Modelled Carbon accumulation rate (gcm-2yr-1),0.000676107,Modelled Carbon Accumulation rate (gm-2yr-1),6.761066009,Carbon Density (gcm-3),0.066517371,OM density (gcm-3),0.133034742
DB-01,36,34,4968.2002,bulk density (g/cm^3),0.16344412,%Nitrogen,1.8664,%Carbon,40.115,%Hydrogen,4.7249,C density (g/cm^3),0.065565609,Culmulative carbon mass (g/cm^2),2.410655998,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^11,24.10655998,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000525108,Average carbon accumulation (g/m^2/yr),5.251083229,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.009855983,Modelled Carbon accumulation rate (gcm-2yr-1),0.000646214,Modelled Carbon Accumulation rate (gm-2yr-1),6.462135243,Carbon Density (gcm-3),0.063737092,OM density (gcm-3),0.127474184
DB-01,40,38,5349.8089,bulk density (g/cm^3),0.188930606,%Nitrogen,1.8378,%Carbon,40.48,%Hydrogen,4.7724,C density (g/cm^3),0.076479109,Culmulative carbon mass (g/cm^2),2.716572436,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^12,27.16572436,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000612513,Average carbon accumulation (g/m^2/yr),6.125134459,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010762467,Modelled Carbon accumulation rate (gcm-2yr-1),0.000823104,Modelled Carbon Accumulation rate (gm-2yr-1),8.231038914,Carbon Density (gcm-3),0.074247929,OM density (gcm-3),0.148495858
